s16_256_8192_2_1.c,745,1012,1039,875,812,784
s16_256_8192_2_2.c,727,1032,1012,870,812,761
s16_256_8192_2_3.c,752,1009,1016,876,818,759
s16_256_8192_2_4.c,739,1035,1031,868,798,765
s16_256_8192_2_5.c,722,1009,1027,899,796,779
s16_256_8192_4_0.c,744,1015,1036,886,815,759
s16_256_8192_4_1.c,728,1014,1014,874,801,761
s16_256_8192_4_2.c,740,1014,1026,876,825,755
s16_256_8192_4_3.c,742,1044,1026,892,817,758
s16_256_8192_4_4.c,733,1019,1043,869,793,774
s16_256_8192_4_5.c,724,1043,1011,897,797,759
s16_256_8192_8_0.c,754,1011,1012,874,797,763
s16_256_8192_8_1.c,748,1027,1014,894,794,778
s16_256_8192_8_2.c,726,1023,1023,876,813,759
s16_256_8192_8_3.c,742,1038,1021,872,826,760
s16_256_8192_8_4.c,754,1025,1016,883,793,761
s16_256_8192_8_5.c,756,1036,1017,902,798,761
s16_4096_1024_2_0.c,746,1015,1021,888,799,764
s16_4096_1024_2_1.c,730,1022,1020,897,827,782
s16_4096_1024_2_2.c,726,1033,1022,906,823,774
s16_4096_1024_2_3.c,727,1043,1047,880,797,762
s16_4096_1024_2_4.c,750,1015,1037,887,816,772
s16_4096_1024_2_5.c,759,1062,1056,874,821,763
s16_4096_1024_4_0.c,750,1017,1046,884,806,760
s16_4096_1024_4_1.c,729,1020,1047,905,822,775
s16_4096_1024_4_2.c,732,1023,1033,900,822,761
s16_4096_1024_4_3.c,759,1022,1041,897,818,777
s16_4096_1024_4_4.c,754,1021,1028,908,800,784
s16_4096_1024_4_5.c,784,1103,1084,909,808,775
s16_4096_1024_8_0.c,733,1034,1045,903,800,762
s16_4096_1024_8_1.c,757,1023,1012,886,815,779
s16_4096_1024_8_2.c,733,1033,1023,905,816,784
s16_4096_1024_8_3.c,733,1015,1043,900,813,777
s16_4096_1024_8_4.c,730,1041,1031,909,823,774
s16_4096_1024_8_5.c,743,1029,1037,902,814,774
s16_4096_128_2_0.c,753,1045,1011,875,802,772
s16_4096_128_2_1.c,732,1025,1006,870,819,785
s16_4096_128_2_2.c,765,1022,1010,871,802,759
s16_4096_128_2_3.c,760,1035,1004,897,828,777
s16_4096_128_2_4.c,748,1025,1024,901,821,785
s16_4096_128_2_5.c,749,1037,1011,874,814,773
s16_4096_128_4_0.c,738,1026,1030,892,812,761
s16_4096_128_4_1.c,732,1021,1023,894,819,764
s16_4096_128_4_2.c,763,1054,1037,895,802,774
s16_4096_128_4_3.c,736,1054,1006,872,810,782
s16_4096_128_4_4.c,753,1038,1014,872,818,788
s16_4096_128_4_5.c,761,1077,1054,909,833,799
s16_4096_128_8_0.c,774,1081,1094,929,825,801
s16_4096_128_8_1.c,764,1074,1049,918,840,812
s16_4096_128_8_2.c,775,1077,1070,915,830,801
s16_4096_128_8_3.c,782,1075,1052,924,843,808
s16_4096_128_8_4.c,766,1072,1058,913,825,796
s16_4096_128_8_5.c,775,1059,1056,919,833,787
s16_4096_16384_2_0.c,755,1054,1063,926,828,789
s16_4096_16384_2_1.c,763,1061,1068,921,836,793
s16_4096_16384_2_2.c,758,1050,1070,918,843,789
s16_4096_16384_2_3.c,763,1055,1090,919,833,757
s16_4096_16384_2_4.c,728,1019,1029,890,799,766
s16_4096_16384_2_5.c,740,1024,1024,885,812,763
s16_4096_16384_4_0.c,745,1015,1019,883,794,760
s16_4096_16384_4_1.c,733,1028,1020,881,793,758
s16_4096_16384_4_2.c,747,1019,1026,875,804,755
