s9n_4096_4096_0_z.c,630,550,553,565,507,510,504,518
s9n_4096_4096_2_x.c,626,541,511,545,528,510,550,504
s9n_4096_4096_3_y.c,656,517,507,510,549,546,508,506
s9n_4096_4096_4_z.c,675,507,509,506,558,512,513,519
s9n_4096_512_1_x.c,585,392,405,392,393,520,497,511
s9n_4096_512_2_y.c,585,387,385,392,414,498,506,494
s9n_4096_512_3_z.c,592,384,415,400,389,498,525,515
s9n_4096_64_0_x.c,531,317,323,355,338,497,543,542
s9n_4096_64_1_y.c,514,350,314,320,327,505,512,485
s9n_4096_64_2_z.c,503,324,329,333,325,500,511,522
s9n_4096_64_4_x.c,523,329,318,352,340,492,488,495
s9n_4096_8192_0_y.c,639,537,518,572,515,570,513,530
s9n_4096_8192_1_z.c,722,517,518,522,513,519,513,510
s9n_4096_8192_3_x.c,641,515,511,518,518,518,520,518
s9n_4096_8192_4_y.c,645,515,515,517,525,538,513,515
s9n_512_1024_0_z.c,620,398,400,393,379,564,579,576
s9n_512_1024_2_x.c,567,402,402,415,396,574,594,570
s9n_512_1024_3_y.c,572,404,404,417,405,583,572,573
s9n_512_1024_4_z.c,598,401,398,404,403,545,555,567
s9n_512_128_1_x.c,442,271,270,328,292,453,428,441
s9n_512_128_2_y.c,464,277,278,270,301,477,472,456
s9n_512_128_3_z.c,481,291,243,275,309,422,434,452
s9n_512_16384_0_x.c,644,515,516,506,508,528,527,513
s9n_512_16384_1_y.c,651,515,506,517,504,519,517,550
s9n_512_16384_2_z.c,646,528,513,525,504,515,507,508
s9n_512_16384_4_x.c,622,513,519,502,515,518,519,506
s9n_512_2048_0_y.c,534,402,414,394,407,380,394,392
s9n_512_2048_1_z.c,566,404,388,384,386,390,381,379
s9n_512_2048_3_x.c,543,390,405,396,403,379,375,383
s9n_512_2048_4_y.c,556,421,428,393,402,396,393,396
s9n_512_256_0_z.c,524,332,354,356,344,478,498,474
s9n_512_256_2_x.c,533,343,355,355,373,497,478,473
s9n_512_256_3_y.c,509,348,346,344,344,495,477,472
s9n_512_256_4_z.c,532,347,341,344,338,495,482,503
s9n_512_4096_1_x.c,556,410,407,399,410,407,399,388
s9n_512_4096_2_y.c,563,396,397,401,386,401,391,409
s9n_512_4096_3_z.c,551,405,404,399,401,391,393,390
s9n_512_512_0_x.c,574,370,384,375,371,484,501,481
s9n_512_512_1_y.c,599,371,372,341,372,523,485,494
s9n_512_512_2_z.c,557,390,385,406,390,482,494,530
s9n_512_512_4_x.c,566,383,389,372,391,502,487,488
s9n_512_64_0_y.c,452,234,237,244,250,434,433,454
s9n_512_64_1_z.c,488,223,235,233,246,450,431,422
s9n_512_64_3_x.c,454,226,233,235,235,462,434,445
s9n_512_64_4_y.c,464,242,233,246,228,430,435,463
s9n_512_8192_0_z.c,602,500,493,490,482,453,476,471
s9n_512_8192_2_x.c,686,477,469,453,468,470,467,451
s9n_512_8192_3_y.c,605,487,465,463,463,464,455,453
s9n_512_8192_4_z.c,578,464,462,467,454,457,453,474
s9n_64_1024_1_x.c,565,385,388,368,382,600,578,601
s9n_64_1024_2_y.c,516,392,391,382,411,601,602,599
s9n_64_1024_3_z.c,559,379,395,398,375,583,598,571
s9n_64_128_0_x.c,329,88,80,85,83,197,202,198
s9n_64_128_1_y.c,331,88,86,85,84,202,208,197
s9n_64_128_2_z.c,334,88,77,83,90,192,207,208
s9n_64_128_4_x.c,323,105,88,80,92,206,203,215
s9n_64_16384_0_y.c,555,386,389,407,398,388,404,387
s9n_64_16384_1_z.c,537,387,387,391,399,390,388,409
s9n_64_16384_3_x.c,565,397,388,393,390,392,410,389
s9n_64_16384_4_y.c,557,387,392,400,398,407,406,386
s9n_64_2048_0_z.c,563,395,386,395,407,389,393,383
s9n_64_2048_2_x.c,568,402,400,384,390,375,386,384
s9n_64_2048_3_y.c,532,400,386,404,390,390,376,373
s9n_64_2048_4_z.c,535,387,394,384,394,378,381,395
s9n_64_256_1_x.c,435,246,254,251,254,410,405,406
s9n_64_256_2_y.c,436,253,253,258,251,411,403,396
s9n_64_256_3_z.c,425,246,249,252,246,398,403,408
s9n_64_4096_0_x.c,573,399,402,401,399,398,396,410
s9n_64_4096_1_y.c,555,421,406,403,397,400,414,408
s9n_64_4096_2_z.c,571,417,401,395,395,399,411,383
s9n_64_4096_4_x.c,532,398,388,399,403,403,400,401
s9n_64_512_0_y.c,438,256,259,254,274,373,350,346
s9n_64_512_1_z.c,436,243,255,256,255,379,349,344
